"Sex of employee";"Type of employment contract";"Other characteristics employee";"Industry class / branch (SIC2008)";"Periods";"Employment/Jobs (x 1 000)"
"Sex: Male";"Total";"Total";"C Manufacturing";"2020";592
"Sex: Male";"Total";"Total";"D Energy supply";"2020";21
"Sex: Male";"Total";"Total";"E Water supply and waste management";"2020";29
"Sex: Male";"Total";"Total";"F Construction";"2020";294
"Sex: Male";"Total";"Total";"G-N Commercial services";"2020";2517
"Sex: Male";"Total";"Total";"G-I Trade, transport, hotels, catering";"2020";1240
"Sex: Male";"Total";"Total";"G Wholesale and retail trade";"2020";753
"Sex: Male";"Total";"Total";"H Transportation and storage";"2020";291
"Sex: Male";"Total";"Total";"I Accommodation and food serving";"2020";196
"Sex: Male";"Total";"Total";"J Information and communication";"2020";210
"Sex: Male";"Total";"Total";"K Financial institutions";"2020";166
"Sex: Male";"Total";"Total";"L Renting, buying, selling real estate";"2020";35
"Sex: Male";"Total";"Total";"M-N Business services";"2020";867
"Sex: Male";"Total";"Total";"M Other specialised business services";"2020";310
"Sex: Male";"Total";"Total";"N Renting and other business support";"2020";557
"Sex: Male";"Total";"Total";"O-U Noncommercial services";"2020";828
"Sex: Male";"Total";"Total";"O-Q Government and care";"2020";720
"Sex: Male";"Total";"Total";"O Public administration and services";"2020";307
"Sex: Male";"Total";"Total";"P Education";"2020";189
"Sex: Male";"Total";"Total";"Q Health and social work activities";"2020";224
"Sex: Male";"Total";"Total";"R-U Culture, recreation, other services";"2020";108
"Sex: Male";"Total";"Total";"R Culture, sports and recreation";"2020";63
"Sex: Male";"Total";"Total";"S Other service activities";"2020";45
"Sex: Male";"Total";"Younger than 15 years";"A-U All economic activities";"2020";9
"Sex: Male";"Total";"Younger than 15 years";"A-F Agriculture and industry";"2020";3
"Sex: Male";"Total";"Younger than 15 years";"A Agriculture, forestry and fishing";"2020";2
"Sex: Male";"Total";"Younger than 15 years";"B-F Manifacturing and energy";"2020";0
"Sex: Male";"Total";"Younger than 15 years";"B-E Industry (no construction), energy";"2020";0
"Sex: Male";"Total";"Younger than 15 years";"B Mining and quarrying ";"2020";0
"Sex: Male";"Total";"Younger than 15 years";"C Manufacturing";"2020";0
"Sex: Male";"Total";"Younger than 15 years";"D Energy supply";"2020";0
"Sex: Male";"Total";"Younger than 15 years";"E Water supply and waste management";"2020";0
"Sex: Male";"Total";"Younger than 15 years";"F Construction";"2020";0
"Sex: Male";"Total";"Younger than 15 years";"G-N Commercial services";"2020";6
"Sex: Male";"Total";"Younger than 15 years";"G-I Trade, transport, hotels, catering";"2020";5
"Sex: Male";"Total";"Younger than 15 years";"G Wholesale and retail trade";"2020";4
"Sex: Male";"Total";"Younger than 15 years";"H Transportation and storage";"2020";0
"Sex: Male";"Total";"Younger than 15 years";"I Accommodation and food serving";"2020";1
"Sex: Male";"Total";"Younger than 15 years";"J Information and communication";"2020";0
"Sex: Male";"Total";"Younger than 15 years";"K Financial institutions";"2020";0
"Sex: Male";"Total";"Younger than 15 years";"L Renting, buying, selling real estate";"2020";0
"Sex: Male";"Total";"Younger than 15 years";"M-N Business services";"2020";1
"Sex: Male";"Total";"Younger than 15 years";"M Other specialised business services";"2020";0
"Sex: Male";"Total";"Younger than 15 years";"N Renting and other business support";"2020";1
"Sex: Male";"Total";"Younger than 15 years";"O-U Noncommercial services";"2020";0
"Sex: Male";"Total";"Younger than 15 years";"O-Q Government and care";"2020";0
"Sex: Male";"Total";"Younger than 15 years";"O Public administration and services";"2020";0
"Sex: Male";"Total";"Younger than 15 years";"P Education";"2020";0
"Sex: Male";"Total";"Younger than 15 years";"Q Health and social work activities";"2020";0
"Sex: Male";"Total";"Younger than 15 years";"R-U Culture, recreation, other services";"2020";0
"Sex: Male";"Total";"Younger than 15 years";"R Culture, sports and recreation";"2020";0
"Sex: Male";"Total";"Younger than 15 years";"S Other service activities";"2020";0
"Sex: Male";"Total";"15 to 19 years";"A-U All economic activities";"2020";310
"Sex: Male";"Total";"15 to 19 years";"A-F Agriculture and industry";"2020";37
"Sex: Male";"Total";"15 to 19 years";"A Agriculture, forestry and fishing";"2020";12
"Sex: Male";"Total";"15 to 19 years";"B-F Manifacturing and energy";"2020";25
"Sex: Male";"Total";"15 to 19 years";"B-E Industry (no construction), energy";"2020";14
"Sex: Male";"Total";"15 to 19 years";"B Mining and quarrying ";"2020";0
"Sex: Male";"Total";"15 to 19 years";"C Manufacturing";"2020";14
"Sex: Male";"Total";"15 to 19 years";"D Energy supply";"2020";0
"Sex: Male";"Total";"15 to 19 years";"E Water supply and waste management";"2020";0
"Sex: Male";"Total";"15 to 19 years";"F Construction";"2020";10
"Sex: Male";"Total";"15 to 19 years";"G-N Commercial services";"2020";248
"Sex: Male";"Total";"15 to 19 years";"G-I Trade, transport, hotels, catering";"2020";201
"Sex: Male";"Total";"15 to 19 years";"G Wholesale and retail trade";"2020";136
"Sex: Male";"Total";"15 to 19 years";"H Transportation and storage";"2020";7
"Sex: Male";"Total";"15 to 19 years";"I Accommodation and food serving";"2020";58
"Sex: Male";"Total";"15 to 19 years";"J Information and communication";"2020";3
"Sex: Male";"Total";"15 to 19 years";"K Financial institutions";"2020";1
"Sex: Male";"Total";"15 to 19 years";"L Renting, buying, selling real estate";"2020";1
"Sex: Male";"Total";"15 to 19 years";"M-N Business services";"2020";43
"Sex: Male";"Total";"15 to 19 years";"M Other specialised business services";"2020";6
"Sex: Male";"Total";"15 to 19 years";"N Renting and other business support";"2020";37
"Sex: Male";"Total";"15 to 19 years";"O-U Noncommercial services";"2020";25
"Sex: Male";"Total";"15 to 19 years";"O-Q Government and care";"2020";17
"Sex: Male";"Total";"15 to 19 years";"O Public administration and services";"2020";5
"Sex: Male";"Total";"15 to 19 years";"P Education";"2020";6
"Sex: Male";"Total";"15 to 19 years";"Q Health and social work activities";"2020";6
"Sex: Male";"Total";"15 to 19 years";"R-U Culture, recreation, other services";"2020";7
"Sex: Male";"Total";"15 to 19 years";"R Culture, sports and recreation";"2020";5
"Sex: Male";"Total";"15 to 19 years";"S Other service activities";"2020";2
"Sex: Male";"Total";"20 to 24 years";"A-U All economic activities";"2020";413
"Sex: Male";"Total";"20 to 24 years";"A-F Agriculture and industry";"2020";66
"Sex: Male";"Total";"20 to 24 years";"A Agriculture, forestry and fishing";"2020";10
"Sex: Male";"Total";"20 to 24 years";"B-F Manifacturing and energy";"2020";56
"Sex: Male";"Total";"20 to 24 years";"B-E Industry (no construction), energy";"2020";34
"Sex: Male";"Total";"20 to 24 years";"B Mining and quarrying ";"2020";0
"Sex: Male";"Total";"20 to 24 years";"C Manufacturing";"2020";32
"Sex: Male";"Total";"20 to 24 years";"D Energy supply";"2020";1
"Sex: Male";"Total";"20 to 24 years";"E Water supply and waste management";"2020";1
"Sex: Male";"Total";"20 to 24 years";"F Construction";"2020";22
"Sex: Male";"Total";"20 to 24 years";"G-N Commercial services";"2020";288
"Sex: Male";"Total";"20 to 24 years";"G-I Trade, transport, hotels, catering";"2020";152
"Sex: Male";"Total";"20 to 24 years";"G Wholesale and retail trade";"2020";90
"Sex: Male";"Total";"20 to 24 years";"H Transportation and storage";"2020";21
"Sex: Male";"Total";"20 to 24 years";"I Accommodation and food serving";"2020";41
"Sex: Male";"Total";"20 to 24 years";"J Information and communication";"2020";15
"Sex: Male";"Total";"20 to 24 years";"K Financial institutions";"2020";4
"Sex: Male";"Total";"20 to 24 years";"L Renting, buying, selling real estate";"2020";2
"Sex: Male";"Total";"20 to 24 years";"M-N Business services";"2020";114
"Sex: Male";"Total";"20 to 24 years";"M Other specialised business services";"2020";23
"Sex: Male";"Total";"20 to 24 years";"N Renting and other business support";"2020";91
"Sex: Male";"Total";"20 to 24 years";"O-U Noncommercial services";"2020";59
"Sex: Male";"Total";"20 to 24 years";"O-Q Government and care";"2020";45
"Sex: Male";"Total";"20 to 24 years";"O Public administration and services";"2020";14
"Sex: Male";"Total";"20 to 24 years";"P Education";"2020";13
"Sex: Male";"Total";"20 to 24 years";"Q Health and social work activities";"2020";18
"Sex: Male";"Total";"20 to 24 years";"R-U Culture, recreation, other services";"2020";14
"Sex: Male";"Total";"20 to 24 years";"R Culture, sports and recreation";"2020";10
"Sex: Male";"Total";"20 to 24 years";"S Other service activities";"2020";4
"Sex: Male";"Total";"25 to 29 years";"A-U All economic activities";"2020";473
"Sex: Male";"Total";"25 to 29 years";"A-F Agriculture and industry";"2020";89
"Sex: Male";"Total";"25 to 29 years";"A Agriculture, forestry and fishing";"2020";7
"Sex: Male";"Total";"25 to 29 years";"B-F Manifacturing and energy";"2020";82
"Sex: Male";"Total";"25 to 29 years";"B-E Industry (no construction), energy";"2020";54
"Sex: Male";"Total";"25 to 29 years";"B Mining and quarrying ";"2020";0
"Sex: Male";"Total";"25 to 29 years";"C Manufacturing";"2020";49
"Sex: Male";"Total";"25 to 29 years";"D Energy supply";"2020";2
"Sex: Male";"Total";"25 to 29 years";"E Water supply and waste management";"2020";2
"Sex: Male";"Total";"25 to 29 years";"F Construction";"2020";28
"Sex: Male";"Total";"25 to 29 years";"G-N Commercial services";"2020";302
"Sex: Male";"Total";"25 to 29 years";"G-I Trade, transport, hotels, catering";"2020";123
"Sex: Male";"Total";"25 to 29 years";"G Wholesale and retail trade";"2020";74
"Sex: Male";"Total";"25 to 29 years";"H Transportation and storage";"2020";26
"Sex: Male";"Total";"25 to 29 years";"I Accommodation and food serving";"2020";24
"Sex: Male";"Total";"25 to 29 years";"J Information and communication";"2020";31
"Sex: Male";"Total";"25 to 29 years";"K Financial institutions";"2020";12
"Sex: Male";"Total";"25 to 29 years";"L Renting, buying, selling real estate";"2020";3
"Sex: Male";"Total";"25 to 29 years";"M-N Business services";"2020";133
"Sex: Male";"Total";"25 to 29 years";"M Other specialised business services";"2020";44
"Sex: Male";"Total";"25 to 29 years";"N Renting and other business support";"2020";89
"Sex: Male";"Total";"25 to 29 years";"O-U Noncommercial services";"2020";82
"Sex: Male";"Total";"25 to 29 years";"O-Q Government and care";"2020";69
"Sex: Male";"Total";"25 to 29 years";"O Public administration and services";"2020";23
"Sex: Male";"Total";"25 to 29 years";"P Education";"2020";19
"Sex: Male";"Total";"25 to 29 years";"Q Health and social work activities";"2020";27
"Sex: Male";"Total";"25 to 29 years";"R-U Culture, recreation, other services";"2020";13
"Sex: Male";"Total";"25 to 29 years";"R Culture, sports and recreation";"2020";8
"Sex: Male";"Total";"25 to 29 years";"S Other service activities";"2020";4
"Sex: Male";"Total";"30 to 34 years";"A-U All economic activities";"2020";459
"Sex: Male";"Total";"30 to 34 years";"A-F Agriculture and industry";"2020";100
"Sex: Male";"Total";"30 to 34 years";"A Agriculture, forestry and fishing";"2020";6
"Sex: Male";"Total";"30 to 34 years";"B-F Manifacturing and energy";"2020";93
"Sex: Male";"Total";"30 to 34 years";"B-E Industry (no construction), energy";"2020";62
"Sex: Male";"Total";"30 to 34 years";"B Mining and quarrying ";"2020";1
"Sex: Male";"Total";"30 to 34 years";"C Manufacturing";"2020";56
"Sex: Male";"Total";"30 to 34 years";"D Energy supply";"2020";2
"Sex: Male";"Total";"30 to 34 years";"E Water supply and waste management";"2020";3
"Sex: Male";"Total";"30 to 34 years";"F Construction";"2020";31
"Sex: Male";"Total";"30 to 34 years";"G-N Commercial services";"2020";276
"Sex: Male";"Total";"30 to 34 years";"G-I Trade, transport, hotels, catering";"2020";113
"Sex: Male";"Total";"30 to 34 years";"G Wholesale and retail trade";"2020";70
"Sex: Male";"Total";"30 to 34 years";"H Transportation and storage";"2020";28
"Sex: Male";"Total";"30 to 34 years";"I Accommodation and food serving";"2020";16
"Sex: Male";"Total";"30 to 34 years";"J Information and communication";"2020";35
"Sex: Male";"Total";"30 to 34 years";"K Financial institutions";"2020";16
"Sex: Male";"Total";"30 to 34 years";"L Renting, buying, selling real estate";"2020";3
"Sex: Male";"Total";"30 to 34 years";"M-N Business services";"2020";108
"Sex: Male";"Total";"30 to 34 years";"M Other specialised business services";"2020";40
"Sex: Male";"Total";"30 to 34 years";"N Renting and other business support";"2020";68
"Sex: Male";"Total";"30 to 34 years";"O-U Noncommercial services";"2020";84
"Sex: Male";"Total";"30 to 34 years";"O-Q Government and care";"2020";73
"Sex: Male";"Total";"30 to 34 years";"O Public administration and services";"2020";28
"Sex: Male";"Total";"30 to 34 years";"P Education";"2020";19
"Sex: Male";"Total";"30 to 34 years";"Q Health and social work activities";"2020";26
"Sex: Male";"Total";"30 to 34 years";"R-U Culture, recreation, other services";"2020";11
"Sex: Male";"Total";"30 to 34 years";"R Culture, sports and recreation";"2020";6
"Sex: Male";"Total";"30 to 34 years";"S Other service activities";"2020";4
"Sex: Male";"Total";"35 to 39 years";"A-U All economic activities";"2020";421
"Sex: Male";"Total";"35 to 39 years";"A-F Agriculture and industry";"2020";99
"Sex: Male";"Total";"35 to 39 years";"A Agriculture, forestry and fishing";"2020";5
"Sex: Male";"Total";"35 to 39 years";"B-F Manifacturing and energy";"2020";94
"Sex: Male";"Total";"35 to 39 years";"B-E Industry (no construction), energy";"2020";62
"Sex: Male";"Total";"35 to 39 years";"B Mining and quarrying ";"2020";1
"Sex: Male";"Total";"35 to 39 years";"C Manufacturing";"2020";56
"Sex: Male";"Total";"35 to 39 years";"D Energy supply";"2020";3
"Sex: Male";"Total";"35 to 39 years";"E Water supply and waste management";"2020";3
"Sex: Male";"Total";"35 to 39 years";"F Construction";"2020";31
"Sex: Male";"Total";"35 to 39 years";"G-N Commercial services";"2020";244
"Sex: Male";"Total";"35 to 39 years";"G-I Trade, transport, hotels, catering";"2020";102
"Sex: Male";"Total";"35 to 39 years";"G Wholesale and retail trade";"2020";63
"Sex: Male";"Total";"35 to 39 years";"H Transportation and storage";"2020";26
"Sex: Male";"Total";"35 to 39 years";"I Accommodation and food serving";"2020";13
"Sex: Male";"Total";"35 to 39 years";"J Information and communication";"2020";30
"Sex: Male";"Total";"35 to 39 years";"K Financial institutions";"2020";19
"Sex: Male";"Total";"35 to 39 years";"L Renting, buying, selling real estate";"2020";3
"Sex: Male";"Total";"35 to 39 years";"M-N Business services";"2020";89
"Sex: Male";"Total";"35 to 39 years";"M Other specialised business services";"2020";35
"Sex: Male";"Total";"35 to 39 years";"N Renting and other business support";"2020";54
"Sex: Male";"Total";"35 to 39 years";"O-U Noncommercial services";"2020";79
"Sex: Male";"Total";"35 to 39 years";"O-Q Government and care";"2020";69
"Sex: Male";"Total";"35 to 39 years";"O Public administration and services";"2020";30
"Sex: Male";"Total";"35 to 39 years";"P Education";"2020";18
"Sex: Male";"Total";"35 to 39 years";"Q Health and social work activities";"2020";22
"Sex: Male";"Total";"35 to 39 years";"R-U Culture, recreation, other services";"2020";9
"Sex: Male";"Total";"35 to 39 years";"R Culture, sports and recreation";"2020";5
"Sex: Male";"Total";"35 to 39 years";"S Other service activities";"2020";4
"Sex: Male";"Total";"40 to 44 years";"A-U All economic activities";"2020";401
"Sex: Male";"Total";"40 to 44 years";"A-F Agriculture and industry";"2020";101
"Sex: Male";"Total";"40 to 44 years";"A Agriculture, forestry and fishing";"2020";5
"Sex: Male";"Total";"40 to 44 years";"B-F Manifacturing and energy";"2020";96
"Sex: Male";"Total";"40 to 44 years";"B-E Industry (no construction), energy";"2020";64
"Sex: Male";"Total";"40 to 44 years";"B Mining and quarrying ";"2020";1
"Sex: Male";"Total";"40 to 44 years";"C Manufacturing";"2020";58
"Sex: Male";"Total";"40 to 44 years";"D Energy supply";"2020";2
"Sex: Male";"Total";"40 to 44 years";"E Water supply and waste management";"2020";3
"Sex: Male";"Total";"40 to 44 years";"F Construction";"2020";32
"Sex: Male";"Total";"40 to 44 years";"G-N Commercial services";"2020";222
"Sex: Male";"Total";"40 to 44 years";"G-I Trade, transport, hotels, catering";"2020";96
"Sex: Male";"Total";"40 to 44 years";"G Wholesale and retail trade";"2020";60
"Sex: Male";"Total";"40 to 44 years";"H Transportation and storage";"2020";26
"Sex: Male";"Total";"40 to 44 years";"I Accommodation and food serving";"2020";10
"Sex: Male";"Total";"40 to 44 years";"J Information and communication";"2020";23
"Sex: Male";"Total";"40 to 44 years";"K Financial institutions";"2020";20
"Sex: Male";"Total";"40 to 44 years";"L Renting, buying, selling real estate";"2020";4
"Sex: Male";"Total";"40 to 44 years";"M-N Business services";"2020";79
"Sex: Male";"Total";"40 to 44 years";"M Other specialised business services";"2020";33
"Sex: Male";"Total";"40 to 44 years";"N Renting and other business support";"2020";46
"Sex: Male";"Total";"40 to 44 years";"O-U Noncommercial services";"2020";77
"Sex: Male";"Total";"40 to 44 years";"O-Q Government and care";"2020";69
"Sex: Male";"Total";"40 to 44 years";"O Public administration and services";"2020";30
"Sex: Male";"Total";"40 to 44 years";"P Education";"2020";18
"Sex: Male";"Total";"40 to 44 years";"Q Health and social work activities";"2020";20
"Sex: Male";"Total";"40 to 44 years";"R-U Culture, recreation, other services";"2020";9
"Sex: Male";"Total";"40 to 44 years";"R Culture, sports and recreation";"2020";5
"Sex: Male";"Total";"40 to 44 years";"S Other service activities";"2020";4
"Sex: Male";"Total";"45 to 49 years";"A-U All economic activities";"2020";442
"Sex: Male";"Total";"45 to 49 years";"A-F Agriculture and industry";"2020";120
"Sex: Male";"Total";"45 to 49 years";"A Agriculture, forestry and fishing";"2020";6
"Sex: Male";"Total";"45 to 49 years";"B-F Manifacturing and energy";"2020";114
"Sex: Male";"Total";"45 to 49 years";"B-E Industry (no construction), energy";"2020";79
"Sex: Male";"Total";"45 to 49 years";"B Mining and quarrying ";"2020";1
"Sex: Male";"Total";"45 to 49 years";"C Manufacturing";"2020";72
"Sex: Male";"Total";"45 to 49 years";"D Energy supply";"2020";2
"Sex: Male";"Total";"45 to 49 years";"E Water supply and waste management";"2020";4
"Sex: Male";"Total";"45 to 49 years";"F Construction";"2020";35
"Sex: Male";"Total";"45 to 49 years";"G-N Commercial services";"2020";239
"Sex: Male";"Total";"45 to 49 years";"G-I Trade, transport, hotels, catering";"2020";108
"Sex: Male";"Total";"45 to 49 years";"G Wholesale and retail trade";"2020";67
"Sex: Male";"Total";"45 to 49 years";"H Transportation and storage";"2020";31
"Sex: Male";"Total";"45 to 49 years";"I Accommodation and food serving";"2020";9
"Sex: Male";"Total";"45 to 49 years";"J Information and communication";"2020";23
"Sex: Male";"Total";"45 to 49 years";"K Financial institutions";"2020";24
"Sex: Male";"Total";"45 to 49 years";"L Renting, buying, selling real estate";"2020";4
"Sex: Male";"Total";"45 to 49 years";"M-N Business services";"2020";79
"Sex: Male";"Total";"45 to 49 years";"M Other specialised business services";"2020";34
"Sex: Male";"Total";"45 to 49 years";"N Renting and other business support";"2020";45
"Sex: Male";"Total";"45 to 49 years";"O-U Noncommercial services";"2020";83
"Sex: Male";"Total";"45 to 49 years";"O-Q Government and care";"2020";74
"Sex: Male";"Total";"45 to 49 years";"O Public administration and services";"2020";35
"Sex: Male";"Total";"45 to 49 years";"P Education";"2020";18
"Sex: Male";"Total";"45 to 49 years";"Q Health and social work activities";"2020";21
"Sex: Male";"Total";"45 to 49 years";"R-U Culture, recreation, other services";"2020";9
"Sex: Male";"Total";"45 to 49 years";"R Culture, sports and recreation";"2020";5
"Sex: Male";"Total";"45 to 49 years";"S Other service activities";"2020";4
"Sex: Male";"Total";"50 to 54 years";"A-U All economic activities";"2020";485
"Sex: Male";"Total";"50 to 54 years";"A-F Agriculture and industry";"2020";141
"Sex: Male";"Total";"50 to 54 years";"A Agriculture, forestry and fishing";"2020";7
"Sex: Male";"Total";"50 to 54 years";"B-F Manifacturing and energy";"2020";135
"Sex: Male";"Total";"50 to 54 years";"B-E Industry (no construction), energy";"2020";97
"Sex: Male";"Total";"50 to 54 years";"B Mining and quarrying ";"2020";1
"Sex: Male";"Total";"50 to 54 years";"C Manufacturing";"2020";88
"Sex: Male";"Total";"50 to 54 years";"D Energy supply";"2020";3
"Sex: Male";"Total";"50 to 54 years";"E Water supply and waste management";"2020";5
"Sex: Male";"Total";"50 to 54 years";"F Construction";"2020";38
"Sex: Male";"Total";"50 to 54 years";"G-N Commercial services";"2020";248
"Sex: Male";"Total";"50 to 54 years";"G-I Trade, transport, hotels, catering";"2020";117
"Sex: Male";"Total";"50 to 54 years";"G Wholesale and retail trade";"2020";71
"Sex: Male";"Total";"50 to 54 years";"H Transportation and storage";"2020";37
"Sex: Male";"Total";"50 to 54 years";"I Accommodation and food serving";"2020";9
"Sex: Male";"Total";"50 to 54 years";"J Information and communication";"2020";22
"Sex: Male";"Total";"50 to 54 years";"K Financial institutions";"2020";25
"Sex: Male";"Total";"50 to 54 years";"L Renting, buying, selling real estate";"2020";4
"Sex: Male";"Total";"50 to 54 years";"M-N Business services";"2020";79
"Sex: Male";"Total";"50 to 54 years";"M Other specialised business services";"2020";35
"Sex: Male";"Total";"50 to 54 years";"N Renting and other business support";"2020";44
"Sex: Male";"Total";"50 to 54 years";"O-U Noncommercial services";"2020";95
"Sex: Male";"Total";"50 to 54 years";"O-Q Government and care";"2020";85
"Sex: Male";"Total";"50 to 54 years";"O Public administration and services";"2020";41
"Sex: Male";"Total";"50 to 54 years";"P Education";"2020";20
"Sex: Male";"Total";"50 to 54 years";"Q Health and social work activities";"2020";24
"Sex: Male";"Total";"50 to 54 years";"R-U Culture, recreation, other services";"2020";11
"Sex: Male";"Total";"50 to 54 years";"R Culture, sports and recreation";"2020";6
"Sex: Male";"Total";"50 to 54 years";"S Other service activities";"2020";5
"Sex: Male";"Total";"55 to 59 years";"A-U All economic activities";"2020";456
"Sex: Male";"Total";"55 to 59 years";"A-F Agriculture and industry";"2020";134
"Sex: Male";"Total";"55 to 59 years";"A Agriculture, forestry and fishing";"2020";6
"Sex: Male";"Total";"55 to 59 years";"B-F Manifacturing and energy";"2020";128
"Sex: Male";"Total";"55 to 59 years";"B-E Industry (no construction), energy";"2020";95
"Sex: Male";"Total";"55 to 59 years";"B Mining and quarrying ";"2020";1
"Sex: Male";"Total";"55 to 59 years";"C Manufacturing";"2020";86
"Sex: Male";"Total";"55 to 59 years";"D Energy supply";"2020";3
"Sex: Male";"Total";"55 to 59 years";"E Water supply and waste management";"2020";5
"Sex: Male";"Total";"55 to 59 years";"F Construction";"2020";33
"Sex: Male";"Total";"55 to 59 years";"G-N Commercial services";"2020";212
"Sex: Male";"Total";"55 to 59 years";"G-I Trade, transport, hotels, catering";"2020";104
"Sex: Male";"Total";"55 to 59 years";"G Wholesale and retail trade";"2020";58
"Sex: Male";"Total";"55 to 59 years";"H Transportation and storage";"2020";39
"Sex: Male";"Total";"55 to 59 years";"I Accommodation and food serving";"2020";7
"Sex: Male";"Total";"55 to 59 years";"J Information and communication";"2020";15
"Sex: Male";"Total";"55 to 59 years";"K Financial institutions";"2020";20
"Sex: Male";"Total";"55 to 59 years";"L Renting, buying, selling real estate";"2020";4
"Sex: Male";"Total";"55 to 59 years";"M-N Business services";"2020";68
"Sex: Male";"Total";"55 to 59 years";"M Other specialised business services";"2020";30
"Sex: Male";"Total";"55 to 59 years";"N Renting and other business support";"2020";38
"Sex: Male";"Total";"55 to 59 years";"O-U Noncommercial services";"2020";111
"Sex: Male";"Total";"55 to 59 years";"O-Q Government and care";"2020";100
"Sex: Male";"Total";"55 to 59 years";"O Public administration and services";"2020";49
"Sex: Male";"Total";"55 to 59 years";"P Education";"2020";23
"Sex: Male";"Total";"55 to 59 years";"Q Health and social work activities";"2020";28
"Sex: Male";"Total";"55 to 59 years";"R-U Culture, recreation, other services";"2020";11
"Sex: Male";"Total";"55 to 59 years";"R Culture, sports and recreation";"2020";5
"Sex: Male";"Total";"55 to 59 years";"S Other service activities";"2020";5
"Sex: Male";"Total";"60 to 64 years";"A-U All economic activities";"2020";352
"Sex: Male";"Total";"60 to 64 years";"A-F Agriculture and industry";"2020";98
"Sex: Male";"Total";"60 to 64 years";"A Agriculture, forestry and fishing";"2020";4
"Sex: Male";"Total";"60 to 64 years";"B-F Manifacturing and energy";"2020";94
"Sex: Male";"Total";"60 to 64 years";"B-E Industry (no construction), energy";"2020";70
"Sex: Male";"Total";"60 to 64 years";"B Mining and quarrying ";"2020";1
"Sex: Male";"Total";"60 to 64 years";"C Manufacturing";"2020";63
"Sex: Male";"Total";"60 to 64 years";"D Energy supply";"2020";3
"Sex: Male";"Total";"60 to 64 years";"E Water supply and waste management";"2020";3
"Sex: Male";"Total";"60 to 64 years";"F Construction";"2020";24
"Sex: Male";"Total";"60 to 64 years";"G-N Commercial services";"2020";151
"Sex: Male";"Total";"60 to 64 years";"G-I Trade, transport, hotels, catering";"2020";76
"Sex: Male";"Total";"60 to 64 years";"G Wholesale and retail trade";"2020";39
"Sex: Male";"Total";"60 to 64 years";"H Transportation and storage";"2020";32
"Sex: Male";"Total";"60 to 64 years";"I Accommodation and food serving";"2020";5
"Sex: Male";"Total";"60 to 64 years";"J Information and communication";"2020";9
"Sex: Male";"Total";"60 to 64 years";"K Financial institutions";"2020";14
"Sex: Male";"Total";"60 to 64 years";"L Renting, buying, selling real estate";"2020";4
"Sex: Male";"Total";"60 to 64 years";"M-N Business services";"2020";48
"Sex: Male";"Total";"60 to 64 years";"M Other specialised business services";"2020";21
"Sex: Male";"Total";"60 to 64 years";"N Renting and other business support";"2020";27
"Sex: Male";"Total";"60 to 64 years";"O-U Noncommercial services";"2020";103
"Sex: Male";"Total";"60 to 64 years";"O-Q Government and care";"2020";94
"Sex: Male";"Total";"60 to 64 years";"O Public administration and services";"2020";43
"Sex: Male";"Total";"60 to 64 years";"P Education";"2020";26
"Sex: Male";"Total";"60 to 64 years";"Q Health and social work activities";"2020";26
"Sex: Male";"Total";"60 to 64 years";"R-U Culture, recreation, other services";"2020";9
"Sex: Male";"Total";"60 to 64 years";"R Culture, sports and recreation";"2020";4
"Sex: Male";"Total";"60 to 64 years";"S Other service activities";"2020";5
"Sex: Male";"Total";"65 to 74 years";"A-U All economic activities";"2020";129
"Sex: Male";"Total";"65 to 74 years";"A-F Agriculture and industry";"2020";27
"Sex: Male";"Total";"65 to 74 years";"A Agriculture, forestry and fishing";"2020";2
"Sex: Male";"Total";"65 to 74 years";"B-F Manifacturing and energy";"2020";25
"Sex: Male";"Total";"65 to 74 years";"B-E Industry (no construction), energy";"2020";18
"Sex: Male";"Total";"65 to 74 years";"B Mining and quarrying ";"2020";0
"Sex: Male";"Total";"65 to 74 years";"C Manufacturing";"2020";16
"Sex: Male";"Total";"65 to 74 years";"D Energy supply";"2020";1
"Sex: Male";"Total";"65 to 74 years";"E Water supply and waste management";"2020";1
"Sex: Male";"Total";"65 to 74 years";"F Construction";"2020";7
"Sex: Male";"Total";"65 to 74 years";"G-N Commercial services";"2020";74
"Sex: Male";"Total";"65 to 74 years";"G-I Trade, transport, hotels, catering";"2020";37
"Sex: Male";"Total";"65 to 74 years";"G Wholesale and retail trade";"2020";19
"Sex: Male";"Total";"65 to 74 years";"H Transportation and storage";"2020";15
"Sex: Male";"Total";"65 to 74 years";"I Accommodation and food serving";"2020";3
"Sex: Male";"Total";"65 to 74 years";"J Information and communication";"2020";2
"Sex: Male";"Total";"65 to 74 years";"K Financial institutions";"2020";8
"Sex: Male";"Total";"65 to 74 years";"L Renting, buying, selling real estate";"2020";2
"Sex: Male";"Total";"65 to 74 years";"M-N Business services";"2020";25
"Sex: Male";"Total";"65 to 74 years";"M Other specialised business services";"2020";10
"Sex: Male";"Total";"65 to 74 years";"N Renting and other business support";"2020";15
"Sex: Male";"Total";"65 to 74 years";"O-U Noncommercial services";"2020";29
"Sex: Male";"Total";"65 to 74 years";"O-Q Government and care";"2020";24
"Sex: Male";"Total";"65 to 74 years";"O Public administration and services";"2020";9
"Sex: Male";"Total";"65 to 74 years";"P Education";"2020";8
"Sex: Male";"Total";"65 to 74 years";"Q Health and social work activities";"2020";7
