,Competence Features,BertForSequenceClassification SHAP Values
2486,developer ,-0.055728739127516747
2488,place,-0.056604236364364624
2492,offer ,-0.05705597741891527
2493,kam,-0.057378003994623825
2496,color,-0.05794600496689478
2498,iki ,-0.058380305767059326
2500,departments ,-0.05875451741407492
2503,seeking ,-0.05951625807210803
2504,partner ,-0.05959219307572182
2510,store,-0.06268345564603806
2515,equipment ,-0.06402326971874572
2521,joining ,-0.06587679253425449
2526,perfectly ,-0.06721387362896084
2527,rooms ,-0.06726725697517395
2529,workplace ,-0.06850928068161011
2530,extreme ,-0.06873795135735153
2531,temperature ,-0.06873795135735153
2538,Mon,-0.07217257916927337
2547,sch,-0.07541061192750931
2549,communicating ,-0.0765848234295845
2564,inclusive ,-0.08203383982181549
2567,w,-0.08280069567263126
2573,ten,-0.08500745892524719
2574,yes ,-0.08613917231559753
2580,Company,-0.09103341400623322
2582,red ,-0.0923139899969101
2586,electricity ,-0.09343904256820679
2588,outdoor ,-0.09437967045232654
2593,SUMMARY,-0.09671926498413086
2598,empathy,-0.09918157837819308
2602,contributor ,-0.10095249745063484
2607,consideration ,-0.10242958020951067
2613,H,-0.10485598202520473
2614,happy ,-0.10612470656633377
2615,willing ,-0.10650235153799359
2618,diversity ,-0.1071480952668935
2620,September ,-0.1075039878487587
2626,orientation,-0.11199314941962558
2627,January ,-0.11268423199653625
2630,given ,-0.11371882259845734
2633,publish ,-0.11449752748012543
2635,relationships ,-0.11579118544856708
2636,diverse ,-0.11722709536380416
2642,trusted ,-0.11829638217265409
2644,Del,-0.1205368108736972
2645,Netherlands,-0.12071253275378636
2647,inter,-0.12137968113206121
2649,encourage ,-0.12291595712304115
2651,dedicated ,-0.12352828149284635
2654,com ,-0.12457960192173959
2656,Ned,-0.12498584389686584
2662,pen ,-0.12824873626232147
2663,chang,-0.12860779464244843
2665,vet,-0.12967309604088464
2667,patient ,-0.1309282027184963
2670,educate ,-0.13205504417419434
2672,professionals ,-0.13294852387625725
2678,ves,-0.134842981894811
2682,nutrition,-0.1376413106918335
2684,z,-0.1404766277543136
2685,reality,-0.14124542474746704
2688,Ownership ,-0.1432097080589756
2690,receive ,-0.1445119442950402
2697,van ,-0.14684713259339333
2701,inquiries,-0.14912452945663107
2709,qualify ,-0.15382260084152222
2711,fifth ,-0.15497270226478577
2715,ker,-0.15581288330441156
2733,house ,-0.169126780312589
2734,founded ,-0.17036682814359666
2739,listening,-0.174724196549505
2742,email,-0.1762026846408844
2748,include,-0.18102800846099854
2749,Regularly ,-0.18179595470428467
2754,Pension ,-0.18644925951957703
2762,according ,-0.1973426878452301
2763,click ,-0.19754545390605927
2768,close ,-0.19998107249557506
2771,asked ,-0.20093823499240293
2775,decided ,-0.20291108638048172
2777,whoever ,-0.20310261845588684
2778,green ,-0.20385745307430625
2779,embrace ,-0.20391677514891382
2780,located ,-0.2040126733481884
2783,celebrate ,-0.2050027996301651
2785,Contact,-0.20785013400018215
2786,communicate ,-0.2084176146716345
2787,light ,-0.20861072341601053
2791,ond,-0.2107297008236249
2803,row ,-0.21901221945881844
2804,supervisors,-0.21933398196207626
2805,posting,-0.2197426364873536
2806,ibe,-0.22019582986831665
2807,breakfast ,-0.22145678102970123
2817,rta,-0.22865582530697187
2819,Manager ,-0.22975252411561087
2828,arm ,-0.23287814368959517
2830,sko,-0.2334241420030594
2834,necessity ,-0.23591766506433487
2837,vibrant ,-0.23904767632484436
2843,sol,-0.24219644261756912
2844,morning,-0.2438202053308487
2845,education ,-0.24535715812817216
2853,teams,-0.25489141815579147
2854,Trips ,-0.25776052505414915
2858,working ,-0.2618532668505037
2861,local ,-0.26341119816652425
2863,win ,-0.2682574627455324
2865,meeting,-0.26904929243028164
2870,stays ,-0.26952850818634033
2878,share ,-0.2768658358991767
2880,regulated ,-0.27969442307949066
2881,WAN ,-0.28030477053835057
2885,ump,-0.2855048179626465
2888,naire ,-0.2871317216195166
2894,lunch,-0.2912079393863678
2895,mar,-0.2915183147415519
2907,ard,-0.3015381097793579
2913,employees,-0.30997860928376514
2918,yen ,-0.3108575923882502
2919,ver,-0.31653137505054474
2920,rke,-0.3185043931007385
2921,authority ,-0.3193809911608696
2923,fun,-0.32139082439243793
2924,ren,-0.3216964602470398
2929,following ,-0.3258497789502144
2932,Profile,-0.32692480087280273
2933,Outpost,-0.32695385306364017
2938,wat ,-0.33168502151966095
2954,mission ,-0.34982951505420107
2961,started,-0.36066158062312753
2962,Cat,-0.3610878586769104
2964,bonds ,-0.36119899654295295
2966,young ,-0.3660754999611527
2984,Rotterdam ,-0.3899906513591608
2985,pay,-0.3902481570839882
2990,Selection ,-0.39553558826446533
2992,hot,-0.3973635956645012
2995,field ,-0.3985430896282196
2996,beg,-0.3990251123905182
2998,see ,-0.40254974327399395
3002,mun,-0.40619855001568794
3003,Dat,-0.4102104902267456
3005,POSITIONS ,-0.4113302230834961
3006,nationalities ,-0.4114256124012172
3008,Barcelona,-0.4134671280781428
3009,Coordinator ,-0.4141782242222689
3012,package ,-0.4199294447898865
3019,sky,-0.42722539603710175
3024,regarding ,-0.436207695864141
3025,Hotel ,-0.43636345863342285
3029,auction ,-0.44266214966773987
3031,daily ,-0.4472975420455138
3036,bon,-0.4560462608933449
3045,ost,-0.47242894768714905
3050,April ,-0.47671596705913544
3053,ask ,-0.48022663593292236
3055,POP ,-0.48639898824815947
3059,Harry ,-0.49071645736694336
3064,allowance,-0.49721407890319824
3067,welcome ,-0.5043084571758906
3074,equal ,-0.5206394717097282
3079,vacancy ,-0.5307728052139282
3084,Bonus ,-0.5458320379257202
3085,Today,-0.5461657047271729
3095,customers,-0.5657692804311713
3099,March,-0.5697433650493622
3104,surrounding ,-0.581157261505723
3107,Primary ,-0.5839879512786865
3118,Hanoi,-0.6367921829223633
3127,apply ,-0.6648856788873673
3129,courses ,-0.6718630250543356
3130,feb,-0.6754143685102463
3136,holiday ,-0.6884047389030457
3137,Spark ,-0.6892164945602417
3146,Inclusion,-0.7212255001068115
3151,celebrating ,-0.7357577979564667
3152,enterprises ,-0.7391096512728836
3162,Associate ,-0.7805892825126648
3171,month ,-0.8005312755703926
3173,beautiful ,-0.8160566538572311
3185,staffed,-0.8590722545050085
3192,staff,-0.8953800649226953
3203,rks,-0.9592663049697876
3205,per ,-0.9712925731307931
3207,Academy,-0.9778351560235023
3216,insurance ,-1.0495358556509018
3217,Exceptional,-1.0512340068817139
3218,Description,-1.0643746852874756
3223,Permanent,-1.1027274131774902
3224,investing ,-1.1027884781360626
3231,gamer ,-1.1461140364408493
3232,setting ,-1.157489538192749
3240,check ,-1.21699133887887
3250,Voluntary ,-1.6157138347625732
3255,licence,-1.8771932870149612
