,Sex of employee,Type of employment contract,Other characteristics employee,Industry class / branch (SIC2008),Periods,Employment/Jobs (x 1 000)
24882,Sex: Male,Total,Total,B Mining and quarrying ,2020,7.0
24897,Sex: Male,Total,Total,C Manufacturing,2020,592.0
24912,Sex: Male,Total,Total,D Energy supply,2020,21.0
24927,Sex: Male,Total,Total,E Water supply and waste management,2020,29.0
24942,Sex: Male,Total,Total,F Construction,2020,294.0
24957,Sex: Male,Total,Total,G-N Commercial services,2020,2517.0
24972,Sex: Male,Total,Total,"G-I Trade, transport, hotels, catering",2020,1240.0
24987,Sex: Male,Total,Total,G Wholesale and retail trade,2020,753.0
25002,Sex: Male,Total,Total,H Transportation and storage,2020,291.0
25017,Sex: Male,Total,Total,I Accommodation and food serving,2020,196.0
25032,Sex: Male,Total,Total,J Information and communication,2020,210.0
25047,Sex: Male,Total,Total,K Financial institutions,2020,166.0
25062,Sex: Male,Total,Total,"L Renting, buying, selling real estate",2020,35.0
25077,Sex: Male,Total,Total,M-N Business services,2020,867.0
25092,Sex: Male,Total,Total,M Other specialised business services,2020,310.0
25107,Sex: Male,Total,Total,N Renting and other business support,2020,557.0
25122,Sex: Male,Total,Total,O-U Noncommercial services,2020,828.0
25137,Sex: Male,Total,Total,O-Q Government and care,2020,720.0
25152,Sex: Male,Total,Total,O Public administration and services,2020,307.0
25167,Sex: Male,Total,Total,P Education,2020,189.0
25182,Sex: Male,Total,Total,Q Health and social work activities,2020,224.0
25197,Sex: Male,Total,Total,"R-U Culture, recreation, other services",2020,108.0
25212,Sex: Male,Total,Total,"R Culture, sports and recreation",2020,63.0
25227,Sex: Male,Total,Total,S Other service activities,2020,45.0
25242,Sex: Male,Total,Younger than 15 years,A-U All economic activities,2020,9.0
25257,Sex: Male,Total,Younger than 15 years,A-F Agriculture and industry,2020,3.0
25272,Sex: Male,Total,Younger than 15 years,"A Agriculture, forestry and fishing",2020,2.0
25287,Sex: Male,Total,Younger than 15 years,B-F Manifacturing and energy,2020,0.0
25302,Sex: Male,Total,Younger than 15 years,"B-E Industry (no construction), energy",2020,0.0
25317,Sex: Male,Total,Younger than 15 years,B Mining and quarrying ,2020,0.0
25332,Sex: Male,Total,Younger than 15 years,C Manufacturing,2020,0.0
25347,Sex: Male,Total,Younger than 15 years,D Energy supply,2020,0.0
25362,Sex: Male,Total,Younger than 15 years,E Water supply and waste management,2020,0.0
25377,Sex: Male,Total,Younger than 15 years,F Construction,2020,0.0
25392,Sex: Male,Total,Younger than 15 years,G-N Commercial services,2020,6.0
25407,Sex: Male,Total,Younger than 15 years,"G-I Trade, transport, hotels, catering",2020,5.0
25422,Sex: Male,Total,Younger than 15 years,G Wholesale and retail trade,2020,4.0
25437,Sex: Male,Total,Younger than 15 years,H Transportation and storage,2020,0.0
25452,Sex: Male,Total,Younger than 15 years,I Accommodation and food serving,2020,1.0
25467,Sex: Male,Total,Younger than 15 years,J Information and communication,2020,0.0
25482,Sex: Male,Total,Younger than 15 years,K Financial institutions,2020,0.0
25497,Sex: Male,Total,Younger than 15 years,"L Renting, buying, selling real estate",2020,0.0
25512,Sex: Male,Total,Younger than 15 years,M-N Business services,2020,1.0
25527,Sex: Male,Total,Younger than 15 years,M Other specialised business services,2020,0.0
25542,Sex: Male,Total,Younger than 15 years,N Renting and other business support,2020,1.0
25557,Sex: Male,Total,Younger than 15 years,O-U Noncommercial services,2020,0.0
25572,Sex: Male,Total,Younger than 15 years,O-Q Government and care,2020,0.0
25587,Sex: Male,Total,Younger than 15 years,O Public administration and services,2020,0.0
25602,Sex: Male,Total,Younger than 15 years,P Education,2020,0.0
25617,Sex: Male,Total,Younger than 15 years,Q Health and social work activities,2020,0.0
25632,Sex: Male,Total,Younger than 15 years,"R-U Culture, recreation, other services",2020,0.0
25647,Sex: Male,Total,Younger than 15 years,"R Culture, sports and recreation",2020,0.0
25662,Sex: Male,Total,Younger than 15 years,S Other service activities,2020,0.0
25677,Sex: Male,Total,15 to 19 years,A-U All economic activities,2020,310.0
25692,Sex: Male,Total,15 to 19 years,A-F Agriculture and industry,2020,37.0
25707,Sex: Male,Total,15 to 19 years,"A Agriculture, forestry and fishing",2020,12.0
25722,Sex: Male,Total,15 to 19 years,B-F Manifacturing and energy,2020,25.0
25737,Sex: Male,Total,15 to 19 years,"B-E Industry (no construction), energy",2020,14.0
25752,Sex: Male,Total,15 to 19 years,B Mining and quarrying ,2020,0.0
25767,Sex: Male,Total,15 to 19 years,C Manufacturing,2020,14.0
25782,Sex: Male,Total,15 to 19 years,D Energy supply,2020,0.0
25797,Sex: Male,Total,15 to 19 years,E Water supply and waste management,2020,0.0
25812,Sex: Male,Total,15 to 19 years,F Construction,2020,10.0
25827,Sex: Male,Total,15 to 19 years,G-N Commercial services,2020,248.0
25842,Sex: Male,Total,15 to 19 years,"G-I Trade, transport, hotels, catering",2020,201.0
25857,Sex: Male,Total,15 to 19 years,G Wholesale and retail trade,2020,136.0
25872,Sex: Male,Total,15 to 19 years,H Transportation and storage,2020,7.0
25887,Sex: Male,Total,15 to 19 years,I Accommodation and food serving,2020,58.0
25902,Sex: Male,Total,15 to 19 years,J Information and communication,2020,3.0
25917,Sex: Male,Total,15 to 19 years,K Financial institutions,2020,1.0
25932,Sex: Male,Total,15 to 19 years,"L Renting, buying, selling real estate",2020,1.0
25947,Sex: Male,Total,15 to 19 years,M-N Business services,2020,43.0
25962,Sex: Male,Total,15 to 19 years,M Other specialised business services,2020,6.0
25977,Sex: Male,Total,15 to 19 years,N Renting and other business support,2020,37.0
25992,Sex: Male,Total,15 to 19 years,O-U Noncommercial services,2020,25.0
26007,Sex: Male,Total,15 to 19 years,O-Q Government and care,2020,17.0
26022,Sex: Male,Total,15 to 19 years,O Public administration and services,2020,5.0
26037,Sex: Male,Total,15 to 19 years,P Education,2020,6.0
26052,Sex: Male,Total,15 to 19 years,Q Health and social work activities,2020,6.0
26067,Sex: Male,Total,15 to 19 years,"R-U Culture, recreation, other services",2020,7.0
26082,Sex: Male,Total,15 to 19 years,"R Culture, sports and recreation",2020,5.0
26097,Sex: Male,Total,15 to 19 years,S Other service activities,2020,2.0
26112,Sex: Male,Total,20 to 24 years,A-U All economic activities,2020,413.0
26127,Sex: Male,Total,20 to 24 years,A-F Agriculture and industry,2020,66.0
26142,Sex: Male,Total,20 to 24 years,"A Agriculture, forestry and fishing",2020,10.0
26157,Sex: Male,Total,20 to 24 years,B-F Manifacturing and energy,2020,56.0
26172,Sex: Male,Total,20 to 24 years,"B-E Industry (no construction), energy",2020,34.0
26187,Sex: Male,Total,20 to 24 years,B Mining and quarrying ,2020,0.0
26202,Sex: Male,Total,20 to 24 years,C Manufacturing,2020,32.0
26217,Sex: Male,Total,20 to 24 years,D Energy supply,2020,1.0
26232,Sex: Male,Total,20 to 24 years,E Water supply and waste management,2020,1.0
26247,Sex: Male,Total,20 to 24 years,F Construction,2020,22.0
26262,Sex: Male,Total,20 to 24 years,G-N Commercial services,2020,288.0
26277,Sex: Male,Total,20 to 24 years,"G-I Trade, transport, hotels, catering",2020,152.0
26292,Sex: Male,Total,20 to 24 years,G Wholesale and retail trade,2020,90.0
26307,Sex: Male,Total,20 to 24 years,H Transportation and storage,2020,21.0
26322,Sex: Male,Total,20 to 24 years,I Accommodation and food serving,2020,41.0
26337,Sex: Male,Total,20 to 24 years,J Information and communication,2020,15.0
26352,Sex: Male,Total,20 to 24 years,K Financial institutions,2020,4.0
26367,Sex: Male,Total,20 to 24 years,"L Renting, buying, selling real estate",2020,2.0
26382,Sex: Male,Total,20 to 24 years,M-N Business services,2020,114.0
26397,Sex: Male,Total,20 to 24 years,M Other specialised business services,2020,23.0
26412,Sex: Male,Total,20 to 24 years,N Renting and other business support,2020,91.0
26427,Sex: Male,Total,20 to 24 years,O-U Noncommercial services,2020,59.0
26442,Sex: Male,Total,20 to 24 years,O-Q Government and care,2020,45.0
26457,Sex: Male,Total,20 to 24 years,O Public administration and services,2020,14.0
26472,Sex: Male,Total,20 to 24 years,P Education,2020,13.0
26487,Sex: Male,Total,20 to 24 years,Q Health and social work activities,2020,18.0
26502,Sex: Male,Total,20 to 24 years,"R-U Culture, recreation, other services",2020,14.0
26517,Sex: Male,Total,20 to 24 years,"R Culture, sports and recreation",2020,10.0
26532,Sex: Male,Total,20 to 24 years,S Other service activities,2020,4.0
26547,Sex: Male,Total,25 to 29 years,A-U All economic activities,2020,473.0
26562,Sex: Male,Total,25 to 29 years,A-F Agriculture and industry,2020,89.0
26577,Sex: Male,Total,25 to 29 years,"A Agriculture, forestry and fishing",2020,7.0
26592,Sex: Male,Total,25 to 29 years,B-F Manifacturing and energy,2020,82.0
26607,Sex: Male,Total,25 to 29 years,"B-E Industry (no construction), energy",2020,54.0
26622,Sex: Male,Total,25 to 29 years,B Mining and quarrying ,2020,0.0
26637,Sex: Male,Total,25 to 29 years,C Manufacturing,2020,49.0
26652,Sex: Male,Total,25 to 29 years,D Energy supply,2020,2.0
26667,Sex: Male,Total,25 to 29 years,E Water supply and waste management,2020,2.0
26682,Sex: Male,Total,25 to 29 years,F Construction,2020,28.0
26697,Sex: Male,Total,25 to 29 years,G-N Commercial services,2020,302.0
26712,Sex: Male,Total,25 to 29 years,"G-I Trade, transport, hotels, catering",2020,123.0
26727,Sex: Male,Total,25 to 29 years,G Wholesale and retail trade,2020,74.0
26742,Sex: Male,Total,25 to 29 years,H Transportation and storage,2020,26.0
26757,Sex: Male,Total,25 to 29 years,I Accommodation and food serving,2020,24.0
26772,Sex: Male,Total,25 to 29 years,J Information and communication,2020,31.0
26787,Sex: Male,Total,25 to 29 years,K Financial institutions,2020,12.0
26802,Sex: Male,Total,25 to 29 years,"L Renting, buying, selling real estate",2020,3.0
26817,Sex: Male,Total,25 to 29 years,M-N Business services,2020,133.0
26832,Sex: Male,Total,25 to 29 years,M Other specialised business services,2020,44.0
26847,Sex: Male,Total,25 to 29 years,N Renting and other business support,2020,89.0
26862,Sex: Male,Total,25 to 29 years,O-U Noncommercial services,2020,82.0
26877,Sex: Male,Total,25 to 29 years,O-Q Government and care,2020,69.0
26892,Sex: Male,Total,25 to 29 years,O Public administration and services,2020,23.0
26907,Sex: Male,Total,25 to 29 years,P Education,2020,19.0
26922,Sex: Male,Total,25 to 29 years,Q Health and social work activities,2020,27.0
26937,Sex: Male,Total,25 to 29 years,"R-U Culture, recreation, other services",2020,13.0
26952,Sex: Male,Total,25 to 29 years,"R Culture, sports and recreation",2020,8.0
26967,Sex: Male,Total,25 to 29 years,S Other service activities,2020,4.0
26982,Sex: Male,Total,30 to 34 years,A-U All economic activities,2020,459.0
26997,Sex: Male,Total,30 to 34 years,A-F Agriculture and industry,2020,100.0
27012,Sex: Male,Total,30 to 34 years,"A Agriculture, forestry and fishing",2020,6.0
27027,Sex: Male,Total,30 to 34 years,B-F Manifacturing and energy,2020,93.0
27042,Sex: Male,Total,30 to 34 years,"B-E Industry (no construction), energy",2020,62.0
27057,Sex: Male,Total,30 to 34 years,B Mining and quarrying ,2020,1.0
27072,Sex: Male,Total,30 to 34 years,C Manufacturing,2020,56.0
27087,Sex: Male,Total,30 to 34 years,D Energy supply,2020,2.0
27102,Sex: Male,Total,30 to 34 years,E Water supply and waste management,2020,3.0
27117,Sex: Male,Total,30 to 34 years,F Construction,2020,31.0
27132,Sex: Male,Total,30 to 34 years,G-N Commercial services,2020,276.0
27147,Sex: Male,Total,30 to 34 years,"G-I Trade, transport, hotels, catering",2020,113.0
27162,Sex: Male,Total,30 to 34 years,G Wholesale and retail trade,2020,70.0
27177,Sex: Male,Total,30 to 34 years,H Transportation and storage,2020,28.0
27192,Sex: Male,Total,30 to 34 years,I Accommodation and food serving,2020,16.0
27207,Sex: Male,Total,30 to 34 years,J Information and communication,2020,35.0
27222,Sex: Male,Total,30 to 34 years,K Financial institutions,2020,16.0
27237,Sex: Male,Total,30 to 34 years,"L Renting, buying, selling real estate",2020,3.0
27252,Sex: Male,Total,30 to 34 years,M-N Business services,2020,108.0
27267,Sex: Male,Total,30 to 34 years,M Other specialised business services,2020,40.0
27282,Sex: Male,Total,30 to 34 years,N Renting and other business support,2020,68.0
27297,Sex: Male,Total,30 to 34 years,O-U Noncommercial services,2020,84.0
27312,Sex: Male,Total,30 to 34 years,O-Q Government and care,2020,73.0
27327,Sex: Male,Total,30 to 34 years,O Public administration and services,2020,28.0
27342,Sex: Male,Total,30 to 34 years,P Education,2020,19.0
27357,Sex: Male,Total,30 to 34 years,Q Health and social work activities,2020,26.0
27372,Sex: Male,Total,30 to 34 years,"R-U Culture, recreation, other services",2020,11.0
27387,Sex: Male,Total,30 to 34 years,"R Culture, sports and recreation",2020,6.0
27402,Sex: Male,Total,30 to 34 years,S Other service activities,2020,4.0
27417,Sex: Male,Total,35 to 39 years,A-U All economic activities,2020,421.0
27432,Sex: Male,Total,35 to 39 years,A-F Agriculture and industry,2020,99.0
27447,Sex: Male,Total,35 to 39 years,"A Agriculture, forestry and fishing",2020,5.0
27462,Sex: Male,Total,35 to 39 years,B-F Manifacturing and energy,2020,94.0
27477,Sex: Male,Total,35 to 39 years,"B-E Industry (no construction), energy",2020,62.0
27492,Sex: Male,Total,35 to 39 years,B Mining and quarrying ,2020,1.0
27507,Sex: Male,Total,35 to 39 years,C Manufacturing,2020,56.0
27522,Sex: Male,Total,35 to 39 years,D Energy supply,2020,3.0
27537,Sex: Male,Total,35 to 39 years,E Water supply and waste management,2020,3.0
27552,Sex: Male,Total,35 to 39 years,F Construction,2020,31.0
27567,Sex: Male,Total,35 to 39 years,G-N Commercial services,2020,244.0
27582,Sex: Male,Total,35 to 39 years,"G-I Trade, transport, hotels, catering",2020,102.0
27597,Sex: Male,Total,35 to 39 years,G Wholesale and retail trade,2020,63.0
27612,Sex: Male,Total,35 to 39 years,H Transportation and storage,2020,26.0
27627,Sex: Male,Total,35 to 39 years,I Accommodation and food serving,2020,13.0
27642,Sex: Male,Total,35 to 39 years,J Information and communication,2020,30.0
27657,Sex: Male,Total,35 to 39 years,K Financial institutions,2020,19.0
27672,Sex: Male,Total,35 to 39 years,"L Renting, buying, selling real estate",2020,3.0
27687,Sex: Male,Total,35 to 39 years,M-N Business services,2020,89.0
27702,Sex: Male,Total,35 to 39 years,M Other specialised business services,2020,35.0
27717,Sex: Male,Total,35 to 39 years,N Renting and other business support,2020,54.0
27732,Sex: Male,Total,35 to 39 years,O-U Noncommercial services,2020,79.0
27747,Sex: Male,Total,35 to 39 years,O-Q Government and care,2020,69.0
27762,Sex: Male,Total,35 to 39 years,O Public administration and services,2020,30.0
27777,Sex: Male,Total,35 to 39 years,P Education,2020,18.0
27792,Sex: Male,Total,35 to 39 years,Q Health and social work activities,2020,22.0
27807,Sex: Male,Total,35 to 39 years,"R-U Culture, recreation, other services",2020,9.0
27822,Sex: Male,Total,35 to 39 years,"R Culture, sports and recreation",2020,5.0
27837,Sex: Male,Total,35 to 39 years,S Other service activities,2020,4.0
27852,Sex: Male,Total,40 to 44 years,A-U All economic activities,2020,401.0
27867,Sex: Male,Total,40 to 44 years,A-F Agriculture and industry,2020,101.0
27882,Sex: Male,Total,40 to 44 years,"A Agriculture, forestry and fishing",2020,5.0
27897,Sex: Male,Total,40 to 44 years,B-F Manifacturing and energy,2020,96.0
27912,Sex: Male,Total,40 to 44 years,"B-E Industry (no construction), energy",2020,64.0
27927,Sex: Male,Total,40 to 44 years,B Mining and quarrying ,2020,1.0
27942,Sex: Male,Total,40 to 44 years,C Manufacturing,2020,58.0
27957,Sex: Male,Total,40 to 44 years,D Energy supply,2020,2.0
27972,Sex: Male,Total,40 to 44 years,E Water supply and waste management,2020,3.0
27987,Sex: Male,Total,40 to 44 years,F Construction,2020,32.0
28002,Sex: Male,Total,40 to 44 years,G-N Commercial services,2020,222.0
28017,Sex: Male,Total,40 to 44 years,"G-I Trade, transport, hotels, catering",2020,96.0
28032,Sex: Male,Total,40 to 44 years,G Wholesale and retail trade,2020,60.0
28047,Sex: Male,Total,40 to 44 years,H Transportation and storage,2020,26.0
28062,Sex: Male,Total,40 to 44 years,I Accommodation and food serving,2020,10.0
28077,Sex: Male,Total,40 to 44 years,J Information and communication,2020,23.0
28092,Sex: Male,Total,40 to 44 years,K Financial institutions,2020,20.0
28107,Sex: Male,Total,40 to 44 years,"L Renting, buying, selling real estate",2020,4.0
28122,Sex: Male,Total,40 to 44 years,M-N Business services,2020,79.0
28137,Sex: Male,Total,40 to 44 years,M Other specialised business services,2020,33.0
28152,Sex: Male,Total,40 to 44 years,N Renting and other business support,2020,46.0
28167,Sex: Male,Total,40 to 44 years,O-U Noncommercial services,2020,77.0
28182,Sex: Male,Total,40 to 44 years,O-Q Government and care,2020,69.0
28197,Sex: Male,Total,40 to 44 years,O Public administration and services,2020,30.0
28212,Sex: Male,Total,40 to 44 years,P Education,2020,18.0
28227,Sex: Male,Total,40 to 44 years,Q Health and social work activities,2020,20.0
28242,Sex: Male,Total,40 to 44 years,"R-U Culture, recreation, other services",2020,9.0
28257,Sex: Male,Total,40 to 44 years,"R Culture, sports and recreation",2020,5.0
28272,Sex: Male,Total,40 to 44 years,S Other service activities,2020,4.0
28287,Sex: Male,Total,45 to 49 years,A-U All economic activities,2020,442.0
28302,Sex: Male,Total,45 to 49 years,A-F Agriculture and industry,2020,120.0
28317,Sex: Male,Total,45 to 49 years,"A Agriculture, forestry and fishing",2020,6.0
28332,Sex: Male,Total,45 to 49 years,B-F Manifacturing and energy,2020,114.0
28347,Sex: Male,Total,45 to 49 years,"B-E Industry (no construction), energy",2020,79.0
28362,Sex: Male,Total,45 to 49 years,B Mining and quarrying ,2020,1.0
28377,Sex: Male,Total,45 to 49 years,C Manufacturing,2020,72.0
28392,Sex: Male,Total,45 to 49 years,D Energy supply,2020,2.0
28407,Sex: Male,Total,45 to 49 years,E Water supply and waste management,2020,4.0
28422,Sex: Male,Total,45 to 49 years,F Construction,2020,35.0
28437,Sex: Male,Total,45 to 49 years,G-N Commercial services,2020,239.0
28452,Sex: Male,Total,45 to 49 years,"G-I Trade, transport, hotels, catering",2020,108.0
28467,Sex: Male,Total,45 to 49 years,G Wholesale and retail trade,2020,67.0
28482,Sex: Male,Total,45 to 49 years,H Transportation and storage,2020,31.0
28497,Sex: Male,Total,45 to 49 years,I Accommodation and food serving,2020,9.0
28512,Sex: Male,Total,45 to 49 years,J Information and communication,2020,23.0
28527,Sex: Male,Total,45 to 49 years,K Financial institutions,2020,24.0
28542,Sex: Male,Total,45 to 49 years,"L Renting, buying, selling real estate",2020,4.0
28557,Sex: Male,Total,45 to 49 years,M-N Business services,2020,79.0
28572,Sex: Male,Total,45 to 49 years,M Other specialised business services,2020,34.0
28587,Sex: Male,Total,45 to 49 years,N Renting and other business support,2020,45.0
28602,Sex: Male,Total,45 to 49 years,O-U Noncommercial services,2020,83.0
28617,Sex: Male,Total,45 to 49 years,O-Q Government and care,2020,74.0
28632,Sex: Male,Total,45 to 49 years,O Public administration and services,2020,35.0
28647,Sex: Male,Total,45 to 49 years,P Education,2020,18.0
28662,Sex: Male,Total,45 to 49 years,Q Health and social work activities,2020,21.0
28677,Sex: Male,Total,45 to 49 years,"R-U Culture, recreation, other services",2020,9.0
28692,Sex: Male,Total,45 to 49 years,"R Culture, sports and recreation",2020,5.0
28707,Sex: Male,Total,45 to 49 years,S Other service activities,2020,4.0
28722,Sex: Male,Total,50 to 54 years,A-U All economic activities,2020,485.0
28737,Sex: Male,Total,50 to 54 years,A-F Agriculture and industry,2020,141.0
28752,Sex: Male,Total,50 to 54 years,"A Agriculture, forestry and fishing",2020,7.0
28767,Sex: Male,Total,50 to 54 years,B-F Manifacturing and energy,2020,135.0
28782,Sex: Male,Total,50 to 54 years,"B-E Industry (no construction), energy",2020,97.0
28797,Sex: Male,Total,50 to 54 years,B Mining and quarrying ,2020,1.0
28812,Sex: Male,Total,50 to 54 years,C Manufacturing,2020,88.0
28827,Sex: Male,Total,50 to 54 years,D Energy supply,2020,3.0
28842,Sex: Male,Total,50 to 54 years,E Water supply and waste management,2020,5.0
28857,Sex: Male,Total,50 to 54 years,F Construction,2020,38.0
28872,Sex: Male,Total,50 to 54 years,G-N Commercial services,2020,248.0
28887,Sex: Male,Total,50 to 54 years,"G-I Trade, transport, hotels, catering",2020,117.0
28902,Sex: Male,Total,50 to 54 years,G Wholesale and retail trade,2020,71.0
28917,Sex: Male,Total,50 to 54 years,H Transportation and storage,2020,37.0
28932,Sex: Male,Total,50 to 54 years,I Accommodation and food serving,2020,9.0
28947,Sex: Male,Total,50 to 54 years,J Information and communication,2020,22.0
28962,Sex: Male,Total,50 to 54 years,K Financial institutions,2020,25.0
28977,Sex: Male,Total,50 to 54 years,"L Renting, buying, selling real estate",2020,4.0
28992,Sex: Male,Total,50 to 54 years,M-N Business services,2020,79.0
29007,Sex: Male,Total,50 to 54 years,M Other specialised business services,2020,35.0
29022,Sex: Male,Total,50 to 54 years,N Renting and other business support,2020,44.0
29037,Sex: Male,Total,50 to 54 years,O-U Noncommercial services,2020,95.0
29052,Sex: Male,Total,50 to 54 years,O-Q Government and care,2020,85.0
29067,Sex: Male,Total,50 to 54 years,O Public administration and services,2020,41.0
29082,Sex: Male,Total,50 to 54 years,P Education,2020,20.0
29097,Sex: Male,Total,50 to 54 years,Q Health and social work activities,2020,24.0
29112,Sex: Male,Total,50 to 54 years,"R-U Culture, recreation, other services",2020,11.0
29127,Sex: Male,Total,50 to 54 years,"R Culture, sports and recreation",2020,6.0
29142,Sex: Male,Total,50 to 54 years,S Other service activities,2020,5.0
29157,Sex: Male,Total,55 to 59 years,A-U All economic activities,2020,456.0
29172,Sex: Male,Total,55 to 59 years,A-F Agriculture and industry,2020,134.0
29187,Sex: Male,Total,55 to 59 years,"A Agriculture, forestry and fishing",2020,6.0
29202,Sex: Male,Total,55 to 59 years,B-F Manifacturing and energy,2020,128.0
29217,Sex: Male,Total,55 to 59 years,"B-E Industry (no construction), energy",2020,95.0
29232,Sex: Male,Total,55 to 59 years,B Mining and quarrying ,2020,1.0
29247,Sex: Male,Total,55 to 59 years,C Manufacturing,2020,86.0
29262,Sex: Male,Total,55 to 59 years,D Energy supply,2020,3.0
29277,Sex: Male,Total,55 to 59 years,E Water supply and waste management,2020,5.0
29292,Sex: Male,Total,55 to 59 years,F Construction,2020,33.0
29307,Sex: Male,Total,55 to 59 years,G-N Commercial services,2020,212.0
29322,Sex: Male,Total,55 to 59 years,"G-I Trade, transport, hotels, catering",2020,104.0
29337,Sex: Male,Total,55 to 59 years,G Wholesale and retail trade,2020,58.0
29352,Sex: Male,Total,55 to 59 years,H Transportation and storage,2020,39.0
29367,Sex: Male,Total,55 to 59 years,I Accommodation and food serving,2020,7.0
29382,Sex: Male,Total,55 to 59 years,J Information and communication,2020,15.0
29397,Sex: Male,Total,55 to 59 years,K Financial institutions,2020,20.0
29412,Sex: Male,Total,55 to 59 years,"L Renting, buying, selling real estate",2020,4.0
29427,Sex: Male,Total,55 to 59 years,M-N Business services,2020,68.0
29442,Sex: Male,Total,55 to 59 years,M Other specialised business services,2020,30.0
29457,Sex: Male,Total,55 to 59 years,N Renting and other business support,2020,38.0
29472,Sex: Male,Total,55 to 59 years,O-U Noncommercial services,2020,111.0
29487,Sex: Male,Total,55 to 59 years,O-Q Government and care,2020,100.0
29502,Sex: Male,Total,55 to 59 years,O Public administration and services,2020,49.0
29517,Sex: Male,Total,55 to 59 years,P Education,2020,23.0
29532,Sex: Male,Total,55 to 59 years,Q Health and social work activities,2020,28.0
29547,Sex: Male,Total,55 to 59 years,"R-U Culture, recreation, other services",2020,11.0
29562,Sex: Male,Total,55 to 59 years,"R Culture, sports and recreation",2020,5.0
29577,Sex: Male,Total,55 to 59 years,S Other service activities,2020,5.0
29592,Sex: Male,Total,60 to 64 years,A-U All economic activities,2020,352.0
29607,Sex: Male,Total,60 to 64 years,A-F Agriculture and industry,2020,98.0
29622,Sex: Male,Total,60 to 64 years,"A Agriculture, forestry and fishing",2020,4.0
29637,Sex: Male,Total,60 to 64 years,B-F Manifacturing and energy,2020,94.0
29652,Sex: Male,Total,60 to 64 years,"B-E Industry (no construction), energy",2020,70.0
29667,Sex: Male,Total,60 to 64 years,B Mining and quarrying ,2020,1.0
29682,Sex: Male,Total,60 to 64 years,C Manufacturing,2020,63.0
29697,Sex: Male,Total,60 to 64 years,D Energy supply,2020,3.0
29712,Sex: Male,Total,60 to 64 years,E Water supply and waste management,2020,3.0
29727,Sex: Male,Total,60 to 64 years,F Construction,2020,24.0
29742,Sex: Male,Total,60 to 64 years,G-N Commercial services,2020,151.0
29757,Sex: Male,Total,60 to 64 years,"G-I Trade, transport, hotels, catering",2020,76.0
29772,Sex: Male,Total,60 to 64 years,G Wholesale and retail trade,2020,39.0
29787,Sex: Male,Total,60 to 64 years,H Transportation and storage,2020,32.0
29802,Sex: Male,Total,60 to 64 years,I Accommodation and food serving,2020,5.0
29817,Sex: Male,Total,60 to 64 years,J Information and communication,2020,9.0
29832,Sex: Male,Total,60 to 64 years,K Financial institutions,2020,14.0
29847,Sex: Male,Total,60 to 64 years,"L Renting, buying, selling real estate",2020,4.0
29862,Sex: Male,Total,60 to 64 years,M-N Business services,2020,48.0
29877,Sex: Male,Total,60 to 64 years,M Other specialised business services,2020,21.0
29892,Sex: Male,Total,60 to 64 years,N Renting and other business support,2020,27.0
29907,Sex: Male,Total,60 to 64 years,O-U Noncommercial services,2020,103.0
29922,Sex: Male,Total,60 to 64 years,O-Q Government and care,2020,94.0
29937,Sex: Male,Total,60 to 64 years,O Public administration and services,2020,43.0
29952,Sex: Male,Total,60 to 64 years,P Education,2020,26.0
29967,Sex: Male,Total,60 to 64 years,Q Health and social work activities,2020,26.0
29982,Sex: Male,Total,60 to 64 years,"R-U Culture, recreation, other services",2020,9.0
29997,Sex: Male,Total,60 to 64 years,"R Culture, sports and recreation",2020,4.0
30012,Sex: Male,Total,60 to 64 years,S Other service activities,2020,5.0
30027,Sex: Male,Total,65 to 74 years,A-U All economic activities,2020,129.0
30042,Sex: Male,Total,65 to 74 years,A-F Agriculture and industry,2020,27.0
30057,Sex: Male,Total,65 to 74 years,"A Agriculture, forestry and fishing",2020,2.0
30072,Sex: Male,Total,65 to 74 years,B-F Manifacturing and energy,2020,25.0
30087,Sex: Male,Total,65 to 74 years,"B-E Industry (no construction), energy",2020,18.0
30102,Sex: Male,Total,65 to 74 years,B Mining and quarrying ,2020,0.0
30117,Sex: Male,Total,65 to 74 years,C Manufacturing,2020,16.0
30132,Sex: Male,Total,65 to 74 years,D Energy supply,2020,1.0
30147,Sex: Male,Total,65 to 74 years,E Water supply and waste management,2020,1.0
30162,Sex: Male,Total,65 to 74 years,F Construction,2020,7.0
30177,Sex: Male,Total,65 to 74 years,G-N Commercial services,2020,74.0
30192,Sex: Male,Total,65 to 74 years,"G-I Trade, transport, hotels, catering",2020,37.0
30207,Sex: Male,Total,65 to 74 years,G Wholesale and retail trade,2020,19.0
30222,Sex: Male,Total,65 to 74 years,H Transportation and storage,2020,15.0
30237,Sex: Male,Total,65 to 74 years,I Accommodation and food serving,2020,3.0
30252,Sex: Male,Total,65 to 74 years,J Information and communication,2020,2.0
30267,Sex: Male,Total,65 to 74 years,K Financial institutions,2020,8.0
30282,Sex: Male,Total,65 to 74 years,"L Renting, buying, selling real estate",2020,2.0
30297,Sex: Male,Total,65 to 74 years,M-N Business services,2020,25.0
30312,Sex: Male,Total,65 to 74 years,M Other specialised business services,2020,10.0
30327,Sex: Male,Total,65 to 74 years,N Renting and other business support,2020,15.0
30342,Sex: Male,Total,65 to 74 years,O-U Noncommercial services,2020,29.0
30357,Sex: Male,Total,65 to 74 years,O-Q Government and care,2020,24.0
30372,Sex: Male,Total,65 to 74 years,O Public administration and services,2020,9.0
